market_id	n	coverage	reason
106396876085960295917470401152912684006406146842536051148904924417149445437722	2053	0.6843333333333333	no_close_10s
42124922750676629183595052542537087695479106010226874073984039812072504098626	2322	0.774	no_close_10s
79869482550018881465590207246399293566528132301367653192966432878000470672528	1914	0.638	no_close_10s
44106607057607087773539881553091407205087777271763406259503589575539926103584	2420	0.8066666666666666	no_close_10s
51843906654413297168784501791746397715220885268014261867717752559510008166342	2251	0.7503333333333333	no_close_10s
75866449345676194690432412247132328583958393556870314618510907762589446292116	1816	0.6053333333333333	no_close_10s
73611210992030829513052404503321691952264872387670434346084434554965125294953	2445	0.815	no_close_10s
95421484786121975164134158964866950051366046488071696640107025060570213947454	2164	0.7213333333333334	no_close_10s
55388259137300066517445595276757640845034408712407941289873691405487846457908	2705	0.9016666666666666	no_close_10s
101149495383684022549937909362645012486898434774272743826041309105409133115402	2552	0.8506666666666667	no_close_10s
96224238301864552045247281204838572044588217920045125771108526284006137750591	2159	0.7196666666666667	no_close_10s
90846707902561532931634245423999752920515933578347464319269573302070423607003	1795	0.5983333333333334	no_close_10s
86863583351771633696490725465159825458312647903728445317239845104294412545838	2308	0.7693333333333333	no_close_10s
105451006957522814323634472074874565477865801937688785690194628834226529453148	2780	0.9266666666666666	no_close_10s
66454052979360452908927604644764592123083000019333633902857431687461058508493	2586	0.862	no_close_10s
75144686209800138834999268086057835979182442291659010628818942481691049036005	2250	0.75	no_close_10s
23805781826582352065232238387250488493107582472407074474320077910003058405256	1610	0.5366666666666666	no_close_10s
17444567765656547329588271887961422419965365480429966650970727276574736146749	2426	0.8086666666666666	no_close_10s
54270298435092191031642658785902207651683718800116381820281992795481577743279	2470	0.8233333333333334	no_close_10s
76347685155474927683772009837909441710762051942788721698879121154198910526960	2331	0.777	no_close_10s
37398796138475046177906812230553509879560964674676362254963701147296330514293	2507	0.8356666666666667	no_close_10s
82927400405322116406907183032448849428694488161345177526449080905835407097561	1785	0.595	no_close_10s
92870092168893205009235395754742561586960146370347706418385087752955105413418	2686	0.8953333333333333	no_close_10s
94921652561126597987462302383715350770052698514726641362496686746966193610455	2240	0.7466666666666667	no_close_10s
34173088410401283039241731623947968645035385861829031615337153583116026063568	2582	0.8606666666666667	no_close_10s
